category,n_total,n_pos,n_neg,auroc_7b,auroc_40b,auprc_7b,auprc_40b,delta_auroc,delta_auprc,p_delong,ci_lower,ci_upper,q_fdr
Developmental,1831,1428,403,0.6440613466230165,0.9324551160414538,0.87907951069896,0.9813853718206981,0.2883937694184373,0.10230586112173812,0.0,0.2601987299190909,0.3152636783158046,0.0
Immune,1831,1370,461,0.6090662951058473,0.8963281979828046,0.8456268138451933,0.96690599824427,0.2872619028769573,0.1212791843990767,0.0,0.2609114582547849,0.31473844666077505,0.0
Metabolic,1831,1375,456,0.6293524720893142,0.9382854864433812,0.8549934830635321,0.981420065535754,0.30893301435406695,0.12642658247222194,0.0,0.2805141276358663,0.33648193428266343,0.0
Neurological,1831,1356,475,0.6627107591988821,0.9546204005589194,0.8656735760511811,0.9856428409181051,0.2919096413600373,0.11996926486692394,0.0,0.2674894814883424,0.31763951387617106,0.0
Oncological,1831,1422,409,0.6490247559310727,0.9423287219006943,0.8730857342980258,0.9840402855878658,0.2933039659696216,0.11095455128984,0.0,0.2644810510505996,0.3222763370934561,0.0
Others,1831,1415,416,0.6089409486273444,0.8936276841533025,0.8537190281801105,0.968359592433161,0.28468673552595813,0.11464056425305058,0.0,0.2547938667428753,0.31370605136137797,0.0
Structural,1831,1409,422,0.6325895815323967,0.9296776982095465,0.8733759754171608,0.9796357516987593,0.29708811667714974,0.10625977628159844,0.0,0.2708458613148331,0.3223262821427454,0.0
