category,n_total,n_pos,n_neg,auroc_7b,auroc_40b,auprc_7b,auprc_40b,delta_auroc,delta_auprc,p_delong,ci_lower,ci_upper,q_fdr
Unclassified,298,218,80,0.8958715596330276,0.9178899082568807,0.9642650207925137,0.9727761193625525,0.0220183486238531,0.008511098570038733,0.15478877416582293,-0.00627628757251916,0.054207934774422,0.2167042838321521
Immune,298,219,79,0.8945147679324894,0.9034159875151726,0.9651847511369664,0.9675705483152008,0.008901219582683195,0.0023857971782343945,0.5141350668069784,-0.018216909094235022,0.036891999655157465,0.5141350668069784
Neurological,296,223,73,0.9492597825419253,0.9589041095890412,0.9858070159165244,0.9861951401394928,0.00964432704711582,0.0003881242229684112,0.4299904360366211,-0.01668352069578962,0.03170404800331799,0.5016555087093914
Developmental,295,215,80,0.8913372093023256,0.9503488372093023,0.9636353529107324,0.9834630855703295,0.05901162790697667,0.01982773265959703,8.12350663714767e-05,0.032360129342758163,0.08883437816649016,0.00036618862722326284
Oncological,294,233,61,0.8870048547104763,0.9410398930556533,0.969832556883564,0.9854567891222928,0.05403503834517698,0.015624232238728886,0.00010462532206378938,0.02748659047183934,0.08360107737544378,0.00036618862722326284
Metabolic,296,229,67,0.8888744052662452,0.9395815681418237,0.9671852227259607,0.9837098691264168,0.050707162875578526,0.016524646400456033,0.0009986012182432447,0.02350296341712654,0.08328520829922406,0.0023300695092342374
Structural,295,213,82,0.8725810145425397,0.8992327951448528,0.9562477887782331,0.9644882795902294,0.026651780602313102,0.008240490811996293,0.08348712190153207,-0.004067960088691871,0.0575627233130045,0.14610246332768112
