category,n_total,n_pos,n_neg,auroc_7b,auroc_40b,auprc_7b,auprc_40b,delta_auroc,delta_auprc,p_delong,ci_lower,ci_upper,q_fdr
Developmental,1428,241,1187,0.9762503189812177,0.9791464936535847,0.9197326552815943,0.9053779149358069,0.0028961746723670245,-0.014354740345787431,0.4612659331416564,-0.004826322443958306,0.010339055493365843,0.8072153829978987
Unclassified,1428,187,1241,0.952655914024829,0.9664751989727104,0.8308270904113579,0.7980657824847623,0.013819284947881427,-0.032761307926595595,0.08056171551276559,0.00031063520307411614,0.029530138830871546,0.5639320085893591
Structural,1428,153,1275,0.9788491605792645,0.97760348583878,0.8719399801474955,0.8167814035278214,-0.001245674740484537,-0.05515857661967416,0.8578979666045936,-0.011621316722829188,0.016432748509571077,0.9869422001971475
Immune,1428,245,1183,0.9824727862404471,0.9847706453671917,0.9308299402549841,0.9174872041685784,0.002297859126744628,-0.013342736086405682,0.4543371018930036,-0.003661464563689552,0.008047049279975377,0.8072153829978987
Neurological,1428,222,1206,0.9716190070667683,0.9716806358597404,0.8862699313673219,0.8867369657963386,6.162879297211266e-05,0.00046703442901674386,0.9869422001971475,-0.0072769169854382375,0.007135699140997802,0.9869422001971475
Metabolic,1428,330,1098,0.9736628580890876,0.9739719600375338,0.9345521042853449,0.9204530479188056,0.0003091019484462443,-0.014099056366539298,0.936993836636667,-0.00652459615653409,0.008816715555082346,0.9869422001971475
Oncological,1428,134,1294,0.9780214076449283,0.9741170499896191,0.8464748532349063,0.8264283967985112,-0.0039043576553091652,-0.020046456436395133,0.3396359372052089,-0.012364427081440055,0.0036571422494778654,0.8072153829978987
