Category,n_variants,AUROC_7B,AUROC_40B,AUPRC_7B,AUPRC_40B
Neurological,1831,0.6627107591988821,0.9546204005589194,0.8656735760511811,0.9856428409181051
Oncological,1831,0.6490247559310727,0.9423287219006943,0.8730857342980258,0.9840402855878658
Metabolic,1831,0.6293524720893142,0.9382854864433812,0.8549934830635321,0.981420065535754
Developmental,1831,0.6440613466230165,0.9324551160414538,0.87907951069896,0.9813853718206981
Structural,1831,0.6325895815323967,0.9296776982095465,0.8733759754171608,0.9796357516987593
Immune,1831,0.6090662951058473,0.8963281979828046,0.8456268138451933,0.96690599824427
Others,1831,0.6089409486273444,0.8936276841533025,0.8537190281801105,0.968359592433161
